aspect,setiment_words,polarity
款式,好看,1
服务,很好,1
舒适度,特别舒服,1
质量,挺好,1
做工,比较精细,1
价格,实惠,1
质地,很好,1
尺寸,满意,1
质量,不错,1
质地,挺保暖的,1
尺寸,大小正合适,1
质量,非常的不错,1
质量,非常好,1
性价比,非常高,1
质量,还不错,1
包装,很严实,1
款式,简单,1
质量,还不错,1
款式,时尚,1
质量,还不错,1
质地,柔软舒适,1
款式,简单也大方,1
质量,还不错,1
质地,柔软舒适,1
款式,简单也大方,1
尺寸,大小合身,1
质量,很好,1
尺寸,很合身,1
服务,很不错,1
质量,很好,1
服务,很好,1
质量,很好,1
质量,特别好,1
外观,特别大方,1
质地,很好,1
质量,挺不错的,1
款式,特别好看,1
质地,厚实,1
质量,挺好的,1
做工,非常精细,1
质量,很好,1
做工,精细,1
款式,好看,1
价格,物美价廉,1
质量,很好,1
服务,态度很好,1
做工,很不错,1
尺寸,很标准,1
舒适度,挺舒服,1
质量,很好,1
款式,新颖潮流,1
舒适度,很舒服,1
舒适度,特别舒服,1
尺寸,很合身,1
做工,很棒,1
款式,很棒,1
价格,物美价廉,1
质量,绝对棒,1
价格,很便宜,1
质量,不错,1
质地,很有质感,1
质量,不错,1
价格,物美价廉,1
质量,超级好,1
质量,很不错,1
质地,很舒服,1
价格,实惠,1
质量,很好,1
尺寸,很合适,1
服务,不错,1
质量,很好,1
尺寸,很合适,1
外观,好看,1
服务,很好,1
质量,很好,1
价格,物美价廉,1
质量,很好,1
款式,时尚大方,1
尺寸,合适,1
质量,很好,1
舒适度,很舒服,1
价格,物有所值,1
质量,很好,1
做工,很精细,1
质量,很好,1
做工,不错,1
舒适度,舒服,1
质量,特别好,1
款式,很百搭,1
舒适度,很舒服,1
价格,优惠,1
做工,非常的精细,1
价格,便宜,1
服务,很热情,1
价格,便宜,1
性价比,很好,1
尺寸,很合适,1
舒适度,特别舒服,1
质地,非常好,1
舒适度,很舒服,1
尺寸,刚刚好,1
质地,挺暖和,1
包装,挺有档次,1
做工,很好,1
尺寸,刚刚好,1
价格,合理到位,1
质量,非常不错,1
款式,特别好看,1
尺寸,合适,1
质量,特别好,1
做工,特别好,1
质地,很舒服,1
做工,精细,1
质量,很好,1
质量,很好,1
尺寸,正合适,1
质量,特别好,1
外观,美观大方,1
价格,物美价廉,1
款式,漂亮,1
价格,合理,1
做工,很精致,1
质量,非常不错,1
款式,非常好看,1
尺寸,非常合适,1
款式,很喜欢,1
质量,超级好,1
外观,挺好看的,1
质量,挺好的,1
服务,挺好的,1
款式,很好,1
质地,不好,-1
价格,便宜,1
质地,不错,1
尺寸,很合身,1
款式,很新颖,1
质地,不咋样,-1
质地,太皱,-1
质地,挺好的,1
外观,很好看,1
价格,超级划算,1
质量,很不错,1
质量,超级垃圾,-1
尺寸,大小刚刚好,1
服务,非常的不错,1
做工,很精细,1
尺寸,大小合适,1
舒适度,挺舒服的,1
价格,实惠,1
尺寸,刚刚合适,1
尺寸,标准,1
舒适度,非常舒服,1
款式,新颖,1
尺寸,对不上,-1
尺寸,严重不符,-1
尺寸,合适,1
质量,蛮好的,1
外观,丑爆炸,-1
质地,差的爆,-1
舒适度,很舒服,1
款式,很好看,1
尺寸,很合适,1
舒适度,挺舒服的,1
尺寸,大小合适,1
舒适度,挺舒服,1
尺寸,很合身,1
款式,很不错,1
尺寸,很合适,1
质量,很好,1
服务,好,1
质量,非常好,1
外观,很好,1
价格,物美价廉,1
尺寸,正合适,1
舒适度,很舒服,1
尺寸,很合身,1
做工,不错,1
尺寸,挺合身,1
质地,特别暖和,1
性价比,比较高,1
舒适度,很舒服,1
款式,非常好看,1
舒适度,非常舒服,1
款式,很时尚,1
服务,很热情,1
舒适度,很舒服,1
款式,潮流,1
质量,很好,1
价格,很合理,1
质量,很好,1
尺寸,很合身,1
款式,简单大方,1
质量,很好,1
款式,简单大方,1
质量,挺好的,1
舒适度,很舒服,1
尺寸,合适,1
舒适度,很舒服,1
舒适度,很舒服,1
质量,比较好,1
价格,便宜,1
做工,不太好,-1
质量,还不错,1
舒适度,舒服,1
尺寸,挺合适的,1
质量,很好,1
质地,挺厚实的,1
款式,简单好搭配,1
质量,很好,1
质地,舒服,1
做工,不错,1
尺寸,合适,1
质量,非常好,1
款式,行,1
质量,不错,1
尺寸,很合身,1
款式,时尚满意,1
舒适度,很舒服,1
质量,很好,1
尺寸,合身,1
外观,好看,1
质地,也不错,1
质量,可以,1
款式,可以,1
尺寸,挺合适的,1
舒适度,舒服,1
质量,不错,1
质量,很好,1
外观,好,1
尺寸,刚好,1
质量,还可以,1
质量,不错,1
尺寸,偏小,-1
质量,不错,1
性价比,物有所值,1
质量,还行,0
价格,不值,-1
舒适度,很舒服,1
质量,特别好,1
舒适度,挺舒服的,1
质量,不错,1
质量,不错,1
尺寸,正好,1
舒适度,舒适,1
尺寸,合身,1
舒适度,很舒服,1
舒适度,蛮暖和的,1
尺寸,合身,1
质量,很好,1
舒适度,舒服,1
舒适度,很舒服,1
质量,不错,1
质量,满意,1
外观,喜欢,1
舒适度,舒服,1
质量,不错,1
舒适度,舒服,1
质量,还不错,1
舒适度,不是太舒服,-1
质地,略硬,-1
尺寸,合适,1
舒适度,舒服,1
质地,好,1
舒适度,非常舒适,1
质量,很好,1
外观,大方,1
做工,做工精细,1
质量,特别好,1
舒适度,很舒适,1
价格,便宜,1
性价比,物有所值,1
性价比,物有所值,1
做工,细致,1
外观,很漂亮,1
价格,实惠,1
服务,细致认真,1
做工,精细,1
质量,很好,1
舒适度,很舒服,1
价格,不贵,1
外观,很好,1
尺寸,合身,1
质地,柔软舒适,1
价格,优惠,1
质量,棒棒的,1
尺码,正合适,1
款式,很大气,1
做工,精细,1
价格,非常合理,1
包装,仔细,1
包装,很严实,1
外观,好看,1
舒适度,很舒服,1
性价比,很高,1
舒适度,好舒服,1
包装,完好无损,1
尺寸,大小合适,1
舒适度,舒服,1
做工,很好,1
包装,完好,1
外观,帅气,1
质地,手感舒服,1
做工,精细,1
质量,很不错,1
款式,很好,1
包装,很整洁,1
尺寸,很标准,1
质量,很好,1
尺寸,很合适,1
尺寸,挺合身的,1
质量,非常好,1
包装,仔细,1
包装,完好,1
做工,精细,1
款式,时尚,1
舒适度,舒服,1
质量,非常好,1
包装,非常仔细,1
外观,很帅气,1
做工,好,1
尺寸,标准,1
性价比,很高,1
包装,非常仔细,1
包装,完好,1
做工,精细,1
款式,时尚,1
舒适度,舒服,1
尺寸,合适,1
质量,没的说,1
价格,实惠,1
服务,满意,1
尺寸,合适,1
外观,很帅气,1
做工,精细,1
质地,柔软厚实,1
性价比,物超所值,1
款式,好看,1
质地,柔软,1
做工,细致,1
尺寸,标准,1
舒适度,很舒服,1
质地,亲肤柔软,1
款式,款式新颖,1
价格,实惠,1
外观,好看,1
价格,合理,1
尺寸,合身,1
质量,挺好的,1
质量,不错,1
价格,实惠,1
性价比,物美价廉,1
做工,精细,1
款式,洋气,1
性价比,很高,1
质地,料子很好,1
做工,精细,1
尺寸,标准,1
尺寸,合适,1
款式,好看,1
包装,严实,1
做工,很细,1
舒适度,很舒服,1
尺寸,正好,1
价格,便宜,1
款式,漂亮,1
质地,好,1
做工,精细,1
质地,舒适,1
尺寸,合适,1
包装,很好,1
质量,很好,1
款式,不错,1
做工,精细,1
舒适度,舒服,1
外观,好看,1
价格,实惠,1
服务,很好,1
尺寸,合身,1
质量,很好,1
款式,时尚,1
尺寸,合适,1
做工,很好,1
款式,很好,1
尺寸,合适,1
外观,帅气,1
尺寸,有点大,-1
质量,好,1
质地,舒适,1
款式,很好,1
价格,实惠,1
包装,仔细,1
质量,柔软,1
尺寸,合身,1
价格,实惠,1
做工,挺好的,1
尺寸,刚好合适,1
质地,舒适,1
做工,精细,1
舒适度,舒服,1
做工,很好,1
价格,便宜,1
质量,杠杠滴,1
质量,好,1
质量,很厚实,1
服务,很好,1
质量,好,1
性价比,高,1
价格,实惠,1
质量,可以,1
包装,仔细,1
质量,很好,1
做工,精细,1
外观,好看,1
质地,很好,1
舒适度,很舒服,1
服务,很好,1
款式,喜欢,1
做工,精细,1
服务,很好,1
质量,还不错,1
尺寸,宽点,-1
款式,大气,1
质地,不错,1
质地,柔软舒适,1
质量,很好,1
款式,非常好,1
价格,实惠,1
质量,好,1
外观,帅气,1
服务,好,1
服务,好,1
外观,漂亮,1
款式,新颖,1
舒适度,舒服,1
包装,精致,1
质量,好,1
做工,精致,1
款式,好看,1
款式,好看,1
质量,好,1
质地,柔软舒适,1
做工,精致,1
尺寸,合身,1
价格,实惠,1
款式,新颖时尚,1
质地,柔软舒服,1
质量,好,1
质量,好,1
做工,精细,1
尺寸,合适,1
性价比,物美价廉,1
质地,有质感,1
款式,时尚,1
尺寸,合适,1
做工,精细,1
质量,好,1
舒适度,舒服,1
款式,好看,1
服务,发货快,1
外观,好看,1
尺寸,标准,1
质地,舒服,1
款式,好看,1
舒适度,舒服,1
外观,好看,1
做工,精细,1
价格,实惠,1
质量,蛮好的,1
外观,好看,1
质地,柔软,1
价格,实惠便宜,1
质量,很好,1
价格,实惠,1
服务,好,1
尺寸,合身,1
款式,潮流新颖,1
价格,实惠,1
质量,很好,1
性价比,不错,1
质地,舒服,1
质量,很好,1
款式,喜欢,1
服务,很好,1
包装,严实,1
质量,好,1
舒适度,舒服,1
款式,喜欢,1
价格,便宜,1
尺寸,正确,1
做工,精细,1
包装,无破损,0
服务,发货快,1
款式,喜欢,1
质量,满意,1
款式,时尚大方,1
做工,很好,1
价格,划算,1
款式,超好,1
舒适度,舒服,1
款式,很潮,1
质量,不错,1
尺寸,标准,1
服务,好评,1
尺寸,合适,1
款式,好看,1
质量,没话说,1
尺寸,合身,1
价格,优惠,1
质量,不错,1
质量,比较好,1
质地,不错,1
外观,好看,1
价格,实惠,1
做工,细致,1
尺寸,合身,1
舒适度,好,1
价格,不高,0
尺寸,很标准,1
性价比,很高,1
做工,精细,1
质量,不错,1
舒适度,不错,1
尺寸,标准,1
款式,不错,1
质量,不错,1
质地,舒服,1
性价比,高,1
做工,精细,1
质量,很好,1
舒适度,舒服,1
尺寸,合适,1
质量,好,1
外观,好看,1
尺寸,合身,1
质量,不错,1
尺寸,合适,1
质量,挺好,1
质地,柔软,1
舒适度,舒服,1
款式,不显臃肿,0
尺寸,合适,1
舒适度,暖和,1
质量,好,1
尺寸,合适,1
舒适度,暖和,1
价格,优惠,1
舒适度,赞,1
服务,很好,1
服务,满意,1
舒适度,好,1
外观,帅气,1
舒适度,好,1
价格,实惠,1
质量,好,1
款式,喜欢,1
尺寸,合适,1
舒适度,暖和,1
质量,好,1
款式,大方,1
服务,好,1
款式,不错,1
质量,不错,1
款式,好看,1
价格,实惠,1
质地,好,1
款式,喜欢,1
质量,很好,1
价格,便宜,1
服务,好,1
质地,舒服,1
质量,还行,0
外观,酷,1
舒适度,保暖,1
尺寸,合适,1
尺寸,刚刚好,0
质量,差,-1
舒适度,不错,1
质量,好,1
质量,还行,0
外观,不好看,-1
服务,麻烦,-1
舒适度,很好,1
舒适度,挺保暖,1
外观,超好,1
价格,优惠,1
尺寸,合身,1
舒适度,舒服,1
做工,粗糙,-1
质量,问题多,-1
舒适度,挺舒服,1
尺寸,合身,1
质量,令人堪忧,-1
外观,好看,1
质量,还行,0
尺寸,合适,1
质量,还行,0
外观,一般,0
服务,敷衍,-1
外观,还可以,-1
做工,不咋样,-1
价格,贵,-1
服务,坑,-1
做工,太假了,-1
质量,一般,0
服务,不好,-1
质量,马马虎虎,0
质量,不好,-1
尺寸,小了点,-1
做工,很扎实,1
外观,简单大方,1
质量,好,1
质量,还可以,1
外观,有点脏,-1
尺寸,大了点,-1
外观,好看,1
尺寸,大了一些,-1
舒适度,舒服,1
价格,划算,1
款式,好看,1
做工,精细,1
舒适度,舒服,1
质地,舒适,1
外观,大方得体,1
质量,好,1
质地,面料不错,1
舒适度,厚实保暖,1
款式,简约有型,1
质量,好,1
做工,精细,1
舒适度,保暖,1
款式,简单大方,1
价格,划算,1
舒适度,保暖,1
款式,好看,1
尺寸,标准,1
质地,柔软,1
质量,好,1
价格,实惠,1
舒适度,保暖,1
款式,容易搭配,1
质量,好,1
尺寸,合适,1
外观,好看,1
质地,舒服,1
价格,划算,1
做工,精细,1
款式,好看,1
舒适度,暖和,1
质地,有质感,1
质量,好,1
价格,值,1
款式,百搭,1
款式,好看,1
舒适度,保暖,1
质量,差,-1
价格,划算,1
舒适度,舒服,1
款式,不错,1
外观,穿着精神,1
质量,好,1
质量,特别好,1
款式,好看,1
质地,很好,1
外观,帅气,1
舒适度,暖和,1
尺寸,合身,1
款式,新,1
质量,不错,1
款式,很潮,1
做工,细致,1
质地,柔软舒适,1
尺寸,合身,1
质量,好,1
做工,精细,1
款式,漂亮,1
价格,实惠,1
做工,不错,1
款式,新潮,1
舒适度,保暖,1
价格,实惠,1
服务,好,1
外观,一般,0
外观,好看,1
质量,还可以,1
尺寸,准,1
款式,不错,1
质地,有质感,1
舒适度,可以,1
舒适度,保暖舒适,1
尺寸,合适,1
款式,喜欢,1
包装,完好,1
质地,柔软舒适,1
舒适度,保暖,1
尺寸,合适,1
款式,正,1
舒适度,很暖,1
质量,好,1
尺寸,刚好,1
尺寸,很合身,1
舒适度,暖和,1
做工,整齐,1
尺寸,刚好合适,1
款式,好看,1
舒适度,暖和,1
外观,帅气,1
舒适度,暖和,1
做工,好,1
尺寸,标准,1
性价比,高,1
质量,不错,1
尺寸,小,-1
性价比,物有所值,1
尺寸,偏小,-1
性价比,可以,0
尺寸,刚好,1
质量,满意,1
舒适度,舒服,1
舒适度,暖和,1
外观,好看,1
尺寸,不合身,-1
包装,破了,-1
价格,便宜,1
质量,好,1
价格,实惠,1
做工,可以,1
质量,不好,-1
款式,是自己想要的,1
舒适度,保暖,1
服务,热情,1
尺寸,合适,1
舒适度,暖和,1
尺寸,合适,1
做工,还可以,0
质量,很好,1
服务,发货速度非常慢,-1
服务,敷衍,-1
质量,很不错,1
舒适度,暖,1
外观,耐看,1
价格,实惠,1
尺寸,标准,1
款式,有档次,1
质地,舒适细腻,1
做工,精致,1
做工,没的说,1
舒适度,舒适,1
款式,好看,1
价格,合适,0
包装,完好无损,1
质量,好,1
舒适度,保暖,1
款式,简单大方,1
价格,便宜,1
尺寸,很合身,1
质量,不错,1
舒适度,保暖,1
质地,不错,1
做工,很好,1
款式,正,1
舒适度,暖和,1
价格,公道,1
舒适度,保暖,1
款式,时尚,1
质量,有保障,1
做工,精细,1
价格,便宜,1
尺码,标准,1
服务,好,1
服务,很暖心,1
舒适度,很暖和,1
质量,很好,1
款式,好看,1
舒适度,暖和,1
做工,很好,1
质量,不错,1
舒适度,暖和,1
款式,好看,1
质量,好,1
舒适度,舒服,1
款式,很好,1
尺寸,适中,0
服务,给力,1
服务,好,1
尺寸,合适,1
质量,好,1
外观,帅气,1
舒适度,保暖,1
外观,很正,1
尺寸,合适,1
质量,很好,1
质地,很柔软,1
尺寸,合适,1
质量,挺好的,1
尺码,合适,1
性价比,可以,1
外观,百搭,1
舒适度,暖和,1
质地,舒服,1
舒适度,暖和,1
做工,细致,1
性价比,很正,1
质量,不错,1
服务,好,1
质量,很好,1
款式,好看,1
质地,柔软,1
尺寸,刚刚好,1
服务,诚信,1
质地,舒适,1
外观,简约大方,1
价格,实惠,1
尺寸,很合适,1
质量,好,1
舒适度,很舒服,1
质地,舒服,1
质量,很好,1
外观,喜欢,1
价格,实惠,1
舒适度,很舒服,1
质量,很满意,1
质量,不错,1
尺寸,宽垮垮的,-1
尺寸,太胖,-1
质量,不咋地,-1
质量,很好,1
舒适度,舒适,1
款式,喜欢,1
价格,大众化,1
服务,耐心,1
包装,仔细,1
尺寸,合身,1
尺寸,大了点,-1
做工,好,1
尺寸,合适,1
舒适度,舒适,1
款式,喜欢,1
质量,马马虎虎,0
性价比,物美价廉,1
尺寸,合身,1
款式,好看,1
价格,值,1
包装,严实,1
质量,好,1
质地,柔软,1
款式,时尚,1
性价比,物有所值,1
质地,柔软,1
价格,划算,1
款式,时尚,1
舒适度,保暖,1
价格,实惠,1
质地,很舒服,1
外观,棒,1
款式,新颖大方,1
质地,柔软,1
款式,简洁,1
尺寸,合身,1
款式,大方,1
尺寸,挺合身,1
价格,便宜,1
质量,好,1
尺寸,挺合适的,1
外观,好看,1
质地,超好,1
服务,细心,1
质地,好,1
性价比,物有所值,1
质量,很好,1
价格,便宜,1
尺寸,合适,1
外观,好看,1
舒适度,舒服,1
质地,不错,1
款式,修身,0
尺寸,刚好合适,1
质地,舒适,1
价格,实惠,1
做工,精细,1
款式,时尚帅气,1
做工,精致,1
质地,舒服,1
款式,不错,1
质地,很好,1
舒适度,舒适,1
质地,柔软舒适,1
尺寸,合适,1
做工,精细,1
服务,很给力,1
质地,很有弹力,0
价格,实惠,1
款式,时尚,1
做工,精细,1
质地,柔软,1
外观,帅气,1
质地,舒服,1
外观,好看,1
尺寸,准确,1
外观,好看,1
质量,好,1
舒适度,舒服,1
价格,值,1
外观,简单大方,1
做工,精细,1
价格,合适,1
服务,好,1
质量,好,1
包装,仔细,1
服务,好,1
舒适度,暖和,1
质地,柔软,1
款式,好看,1
尺寸,刚刚好,1
包装,严实,1
做工,精致,1
舒适度,舒服,1
包装,挺好,1
质量,很好,1
舒适度,舒服,1
尺寸,合身,1
舒适度,保暖,1
性价比,高,1
服务,周到,1
包装,完好,1
质量,好,1
做工,精细,1
舒适度,舒适,1
服务,好,1
尺寸,合身,1
舒适度,暖和,1
尺寸,满意,1
质量,比较好,1
质地,不错,1
款式,新颖,1
外观,好看,1
价格,实惠,1
做工,不错,1
质量,很好,1
外观,很好,1
质地,舒服,1
舒适度,舒适,1
服务,很好,1
尺寸,准确,1
质量,不错,1
外观,好看,1
舒适度,保暖,1
外观,好看,1
质量,好,1
舒适度,保暖舒服,1
外观,好,1
质地,柔软,1
尺寸,合适,1
做工,精细,1
舒适度,暖和,1
舒适度,舒服,1
做工,不错,1
质量,杠杠滴,1
尺寸,刚刚好,1
外观,喜欢,1
做工,很好,1
外观,好看,1
质量,很好,1
款式,时尚,1
舒适度,保暖,1
款式,时尚帅气,1
做工,好,1
尺寸,合适,1
价格,值,1
舒适度,舒服,1
做工,棒,1
价格,实惠,1
尺寸,合适,1
舒适度,保暖,1
款式,百搭,1
质量,好,1
款式,帅气,1
做工,满意,1
质量,很好,1
舒适度,很暖和,1
包装,好,1
做工,很好,1
尺寸,很合适,1
价格,良心,1
外观,挺好看的,1
外观,酷酷哒,1
外观,很漂亮,1
尺寸,正合适,1
外观,很好看,1
舒适度,舒服,1
舒适度,很舒服,1
外观,很好看,1
外观,很好看,1
质地,有点失望,-1
质量,很好,1
舒适度,很舒服,1
质地,很厚实,1
尺寸,有点大,-1
质量,很好,1
质量,挺好的,1
款式,很好看,1
质量,超级好,1
质地,很保暖,1
包装,挺不错的,1
质量,很好,1
质地,手感柔软,1
尺寸,合适,1
款式,喜欢,1
质地,非常柔软,1
做工,精细,1
外观,颜色也蛮好看,1
款式,版型设计的也好,1
尺寸,很合适,1
尺寸,小,-1
款式,很好看,1
质地,很暖和,1
性价比,高,1
质地,挺好,1
舒适度,特别舒服,1
做工,不错,1
性价比,很高,1
质量,还不错,1
质地,面料柔软,1
尺寸,大小刚好,1
款式,版型也好看,1
舒适度,蛮舒服的,1
做工,很好,1
价格,很优惠,1
尺寸,有点小了,-1
外观,挺好看的,1
质地,面料也不错,1
尺寸,大,-1
质量,不错,1
质地,面料挺厚实的,1
舒适度,非常舒服,1
做工,很精细,1
尺寸,合适,1
质地,布料也好,1
质量,很好,1
做工,精细,1
尺寸,很合适,1
外观,很好看,1
质量,棒棒哒,1
价格,非常的实惠,1
质地,很不错,1
做工,很不错,1
尺寸,特别标准,1
舒适度,非常舒适,1
款式,有型,1
尺寸,正好合适,1
做工,都挺好的,1
款式,简单大气,1
价格,便宜,1
外观,很好看,1
质地,很暖和,1
质量,很好,1
质量,真差,-1
尺寸,很合身,1
质地,料子很好,1
舒适度,很舒服的,1
外观,挺时尚的,1
包装,很完美,1
款式,非常潮,1
质地,面料柔软,1
款式,很不错,1
尺寸,很合适,1
价格,很实惠的,1
包装,很好,1
舒适度,很舒适,1
尺寸,大小合适,1
款式,尺码很标准,1
价格,不错,1
款式,挺好看的,1
尺寸,非常合身,1
舒适度,很舒服,1
质量,特别好,1
尺寸,挺合身的,1
舒适度,很舒服,1
质地,很不错,1
款式,还可以,1
做工,很不错,1
尺寸,正好合适,1
做工,精细,1
质地,厚实,1
款式,简单大方,1
质量,不错,1
舒适度,很舒服,1
尺寸,很合身,1
款式,新颖,1
做工,精细,1
质量,不好,-1
质量,超好,1
质地,很满意,1
做工,很满意,1
质量,一般般,0
质量,不错,1
做工,精细,1
款式,新颖独特,1
尺寸,正好,1
质地,挺厚的,1
外观,挺好看的,1
质量,很好,1
价格,不贵,1
服务,态度很好,1
质量,很棒,1
尺寸,码正,1
款式,简单,1
尺寸,正合适,1
质地,很软,1
质量,很好,1
舒适度,很舒服,1
服务,挺好的,1
尺寸,很合身,1
质量,很好,1
舒适度,舒适,1
尺寸,很标准,1
外观,太酷了,1
价格,便宜,1
质地,柔软有弹性,1
质量,很好,1
质地,不错,1
尺寸,码数也很正,1
舒适度,很舒服,1
舒适度,舒适,1
尺寸,大小合适,1
质量,很好,1
质地,很柔软,1
舒适度,很舒服,1
外观,时尚潮流,1
款式,好看,1
质量,很好,1
舒适度,舒服,1
质地,柔软,1
做工,很精细,1
舒适度,非常舒服,1
质量,很好,1
包装,精美,1
质量,很好,1
质地,柔软,1
舒适度,舒适,1
做工,精细,1
款式,时尚,1
质地,不错的,1
做工,蛮不错的,1
款式,不错,1
舒适度,舒服,1
质地,很好,1
质量,还行,0
质地,非常厚实,1
做工,挺细致的,1
款式,时尚潮流,1
尺寸,合身,1
质地,软软的,1
尺寸,很合身,1
舒适度,很舒服,1
包装,严实,1
质量,很好,1
款式,时尚百搭,1
尺寸,刚好合适,1
尺寸,有点大,-1
做工,很满意,1
质量,很好,1
性价比,很高,1
尺寸,标准,1
舒适度,舒适,1
质量,非常好,1
款式,新颖,1
尺寸,很合身,1
舒适度,很舒服,1
价格,很优惠,1
服务,态度好,1
外观,很好看,1
质量,比较一般,0
尺寸,刚好合适,1
舒适度,很舒服,1
做工,很精细,1
质量,不错,0
款式,好看,1
舒适度,舒服,1
价格,值,1
做工,很棒,1
质量,很棒,1
尺寸,刚刚好,1
舒适度,舒服,1
款式,很好看,1
舒适度,很舒服,1
做工,挺细致的,1
款式,时尚潮流,1
价格,实惠,1
质量,好,1
款式,好看,1
尺寸,很合身,1
服务,态度很好,1
质量,很好,1
舒适度,时尚,1
款式,新颖,1
做工,精细,1
尺寸,标准,1
质量,挺好的,1
尺寸,挺合适的,1
外观,很好看,1
质地,很好,1
做工,很好,1
尺寸,挺标准的,1
舒适度,特别舒适,1
质量,很好,1
质地,好,1
做工,很精细,1
舒适,很舒服,1
款式,好看,1
尺寸,适合,1
款式,蛮OK的,1
尺寸,刚刚好,1
舒适度,挺舒服的,1
质量,不错,1
质地,很好,1
尺寸,很合适,1
舒适度,很舒服,1
款式,真的很不错,1
做工,很是精细,1
性价比,超高,1
质量,很好,1
质地,柔软,1
舒适度,舒适,1
做工,精细,1
质地,很满意,1
性价比,很高,1
尺寸,标准,1
款式,简单,1
款式,好,1
做工,蛮不错的,1
质量,很好,1
价格,超级实惠,1
尺寸,很合适,1
质量,不错,1
价格,实惠,1
质量,不错,1
舒适度,穿着舒适,1
尺寸,码数挺正的,1
价格,很实惠,1
尺寸,比较合适,1
质地,很厚实,1
价格,实惠,1
质量,很好,1
尺寸,合身,1
款式,修身显瘦,1
款式,有点特别,1
质量,还可以,0
外观,非常不错,1
舒适度,很舒服,1
款式,不错,1
做工,很精细,1
包装,完好无损,1
做工,很细,1
款式,好看,1
舒适度,很舒服,1
尺寸,很合身,1
舒适度,很舒服,1
做工,精细,1
质量,很好,1
款式,很好看,1
舒适度,很舒服,1
尺寸,合身,1
舒适度,舒服,1
质量,很好,1
做工,精细,1
款式,修身,1
服务,态度很好,1
尺寸,很合适,1
款式,不错,1
质量,挺好的,1
做工,精细,1
款式,很好,1
舒适度,很舒服,1
尺寸,码数也正,1
价格,很合算,1
做工,挺好,1
价格,非常良心,1
舒适度,舒服,1
款式,好看,1
服务,态度好,1
质量,不错,1
款式,很好,1
舒适度,很舒服,1
质地,很柔软,1
质量,很好,1
服务,没得说,1
款式,不错,1
尺寸,刚好合适,1
款式,很好,1
质地,很好,1
质量,很完美,1
款式,简单帅气,1
质量,不错,1
质量,好,1
舒适度,特别舒服,1
尺寸,正规标准,1
价格,实惠,1
服务,态度很好,1
尺寸,刚刚好,1
质地,也可以,0
质量,好,1
性价比,高,1
款式,时尚百搭,1
尺寸,正合适,1
质量,还不错,1
款式,很修身,1
舒适度,舒服,1
做工,仔细,1
尺寸,大小合适,1
舒适度,舒适,1
质量,挺好,1
款式,好看,1
尺寸,合适,1
质地,不错,1
质量,赞,1
做工,精细,1
质量,不错,1
价格,物美价廉,1
质量,挺不错的,1
款式,很正,1
质地,柔软,1
舒适度,舒适,1
质量,不错,1
服务,态度好,1
质地,特别好,1
款式,时尚,1
做工,不错,1
尺寸,刚刚好,1
款式,时尚百搭,1
尺寸,大小很合适,1
价格,物美价廉,1
做工,挺不错的,1
款式,好看,1
做工,精细,1
质地,柔软有弹性,1
尺寸,很合身,1
尺寸,刚刚好,1
质地,很好,1
外观,好看多了,1
款式,好看,1
包装,很严实,1
质地,很厚实,1
舒适度,很舒适,1
质量,非常不错,1
尺寸,合适,1
尺寸,正合适,1
服务,态度很好,1
质量,真心不错,1
服务,很周到,1
款式,版型很正,1
价格,实惠,1
性价比,高,1
质量,挺不错的,1
舒适度,很舒服,1
质地,很柔软,1
质量,很好,1
舒适度,特别舒服,1
款式,时尚潮流,1
尺寸,合身,1
做工,很好,1
尺寸,合适,1
款式,蛮OK的,1
质量,很好,1
款式,不错,1
舒适度,舒服,1
款式,蛮好看的,1
尺寸,比较合身,1
舒适度,舒服,1
质量,好,1
质量,挺不错的,1
尺寸,合适,1
做工,好,1
质量,好,1
服务,态度很好,1
做工,精细,1
舒适度,很舒服,1
尺寸,很合适,1
包装,很好,1
质量,很好,1
舒适度,舒适,1
价格,实惠,1
尺寸,特别标准,1
质地,柔软,1
做工,精细,1
舒适度,很舒服,1
质量,很好,1
做工,好,1
尺寸,刚刚好,1
价格,很划算,1
尺寸,合身,1
外观,挺不错的,1
外观,十分好看,1
质量,棒,1
款式,很不错,1
质量,不错,1
舒适度,舒适,1
款式,简单大方,1
质量,很好,1
舒适度,舒服,1
尺寸,码数很合适,1
舒适度,很舒适,1
质量,棒棒哒,1
尺寸,很合适,1
款式,很喜欢,1
质量,很好,1
服务,态度很好,1
款式,设计感强,1
服务,超细心,1
质地,不错,1
质量,超级好,1
舒适度,特别舒服,1
质量,真心不错,1
外观,时尚帅气,1
价格,实惠,1
尺寸,大小刚刚,1
款式,很漂亮,1
价格,不贵,1
包装,严实精美,1
尺寸,挺合身的,1
质量,特别好,1
尺寸,刚刚好,1
质量,非常好,1
做工,精细,1
款式,新颖,1
尺寸,很合身,1
做工,很精细,1
价格,便宜,1
尺寸,大小很合适,1
质量,还可以,0
质地,面料很柔和,1
做工,精美,1
舒适度,穿起来舒服,1
服务,态度很好,1
款式,版型很正,1
舒适度,很舒服,1
尺寸,非常合适,1
质量,不错,1
做工,好,1
服务,很好,1
款式,简单大方,1
性价比,高,1
做工,走线工整,1
尺寸,刚刚好,1
质量,好,1
服务,很好,1
款式,没话说,1
尺寸,很合身,1
价格,很实惠,1
质量,特别好,1
做工,很精细,1
舒适度,很舒服,1
尺寸,很标准,1
价格,比较实惠,1
